id_interacao,data_inicio,categoria,status_final,prioridade,canal,tempo_primeira_resposta,data_fim,tempo_total,origem,qtd_transferencias,FCR,NPS,id_atendente,turno,volume_dia
71,2021-05-15,Cancellation request,Pending Customer Response,Medium,Chat,1075669.2333333334,2021-05-17 23:00:00,4260.0,Chat,1,0,6,AT011,Tarde (14-22h),883
72,2020-09-26,Refund request,Open,Medium,Social media,0.0,2020-09-30 21:00:00,7020.0,Social media,1,0,8,AT024,Tarde (14-22h),817
73,2021-02-16,Billing inquiry,Closed,Low,Chat,1202675.2666666666,2021-02-16 00:00:00,0.0,Chat,0,1,5,AT018,Manhã (06-14h),1545
74,2020-11-09,Cancellation request,Closed,Critical,Social media,1346251.2833333334,2020-11-09 00:00:00,0.0,Social media,0,1,5,AT025,Noite (22-06h),1881
75,2021-04-16,Billing inquiry,Open,Critical,Email,0.0,2021-04-22 11:00:00,9300.0,Email,0,1,3,AT013,Manhã (06-14h),2146
76,2021-01-06,Product inquiry,Closed,Critical,Chat,1262323.3333333333,2021-01-06 00:00:00,0.0,Chat,1,0,5,AT007,Manhã (06-14h),1380
77,2020-06-30,Cancellation request,Open,Critical,Phone,0.0,2020-07-01 08:00:00,1920.0,Phone,1,0,7,AT001,Noite (22-06h),1973
78,2020-12-29,Billing inquiry,Closed,Low,Email,1274116.4,2020-12-29 00:00:00,0.0,Email,0,1,5,AT015,Tarde (14-22h),2487
79,2021-01-07,Billing inquiry,Pending Customer Response,Medium,Social media,1261017.4333333333,2021-01-09 21:00:00,4140.0,Social media,0,1,6,AT018,Tarde (14-22h),1738
80,2020-11-03,Technical issue,Pending Customer Response,Critical,Chat,1354287.4666666666,2020-11-07 11:00:00,6420.0,Chat,0,1,7,AT011,Tarde (14-22h),1479
81,2021-03-22,Technical issue,Pending Customer Response,Critical,Phone,1153887.4666666666,2021-03-25 04:00:00,4560.0,Phone,1,0,8,AT015,Manhã (06-14h),1411
82,2021-07-22,Cancellation request,Pending Customer Response,Medium,Email,978457.4833333333,2021-07-24 14:00:00,3720.0,Email,0,1,3,AT007,Tarde (14-22h),1720
83,2021-10-04,Refund request,Closed,Low,Social media,871540.5,2021-10-04 00:00:00,0.0,Social media,1,0,5,AT021,Tarde (14-22h),911
84,2021-08-11,Technical issue,Pending Customer Response,Critical,Phone,948984.5333333333,2021-08-13 01:00:00,2940.0,Phone,0,1,5,AT022,Noite (22-06h),1784
85,2021-08-02,Technical issue,Open,Medium,Phone,0.0,2021-08-04 19:00:00,4020.0,Phone,0,1,10,AT025,Manhã (06-14h),2239
86,2021-01-22,Product inquiry,Open,High,Social media,0.0,2021-01-24 02:00:00,3000.0,Social media,0,1,10,AT007,Manhã (06-14h),1749
87,2020-01-18,Technical issue,Closed,Critical,Phone,1772283.5833333333,2020-01-18 00:00:00,0.0,Phone,3,0,5,AT006,Tarde (14-22h),1216
88,2020-09-10,Technical issue,Pending Customer Response,High,Social media,1432521.6,2020-09-11 02:00:00,1560.0,Social media,0,1,9,AT025,Noite (22-06h),1234
89,2021-08-01,Billing inquiry,Open,Critical,Email,0.0,2021-08-03 01:00:00,2940.0,Email,0,1,6,AT010,Noite (22-06h),977
90,2020-01-30,Product inquiry,Closed,Medium,Email,1753877.6666666667,2020-01-30 00:00:00,0.0,Email,0,1,5,AT018,Tarde (14-22h),1839
91,2020-10-15,Refund request,Pending Customer Response,High,Phone,1381395.6833333333,2020-10-18 08:00:00,4800.0,Phone,0,1,5,AT013,Tarde (14-22h),2239
92,2021-11-14,Product inquiry,Pending Customer Response,Low,Email,812174.7166666667,2021-11-19 11:00:00,7860.0,Email,0,1,3,AT008,Tarde (14-22h),2374
93,2021-05-27,Technical issue,Pending Customer Response,Low,Email,1059357.75,2021-05-28 09:00:00,1980.0,Email,0,1,5,AT021,Manhã (06-14h),866
94,2021-05-24,Refund request,Open,Low,Email,0.0,2021-05-30 12:00:00,9360.0,Email,1,0,1,AT019,Manhã (06-14h),2495
95,2021-12-06,Product inquiry,Open,Critical,Phone,0.0,2021-12-11 17:00:00,8220.0,Phone,1,0,8,AT011,Manhã (06-14h),1714
96,2021-10-02,Product inquiry,Closed,High,Chat,874088.8166666667,2021-10-02 00:00:00,0.0,Chat,0,1,5,AT011,Manhã (06-14h),2416
97,2020-10-25,Cancellation request,Open,High,Social media,0.0,2020-10-30 06:00:00,7560.0,Social media,1,0,5,AT011,Manhã (06-14h),1674
98,2020-01-18,Product inquiry,Pending Customer Response,High,Email,1771315.85,2020-01-22 03:00:00,5940.0,Email,0,1,8,AT013,Noite (22-06h),1572
99,2020-09-09,Billing inquiry,Closed,High,Chat,1433225.8833333333,2020-09-09 00:00:00,0.0,Chat,0,1,5,AT023,Manhã (06-14h),1385
100,2020-05-15,Technical issue,Pending Customer Response,Low,Chat,1602212.8833333333,2020-05-17 08:00:00,3360.0,Chat,2,0,7,AT022,Manhã (06-14h),1750
101,2020-05-31,Cancellation request,Pending Customer Response,High,Email,1579536.9166666667,2020-06-05 05:00:00,7500.0,Email,1,0,10,AT024,Tarde (14-22h),992
102,2021-08-01,Billing inquiry,Pending Customer Response,Critical,Phone,964620.95,2021-08-07 17:00:00,9660.0,Phone,1,0,9,AT004,Noite (22-06h),974
103,2021-01-26,Refund request,Closed,Critical,Email,1232827.9666666666,2021-01-26 00:00:00,0.0,Email,0,1,5,AT025,Tarde (14-22h),1961
104,2020-02-24,Refund request,Open,High,Chat,0.0,2020-02-26 06:00:00,3240.0,Chat,0,1,3,AT013,Noite (22-06h),2340
105,2021-06-27,Refund request,Open,High,Phone,0.0,2021-06-30 10:00:00,4920.0,Phone,1,0,7,AT008,Tarde (14-22h),2247
106,2021-07-17,Product inquiry,Pending Customer Response,Critical,Chat,985088.0166666667,2021-07-23 05:00:00,8940.0,Chat,3,0,2,AT003,Tarde (14-22h),1955
107,2021-05-20,Cancellation request,Closed,Low,Email,1069178.0166666666,2021-05-20 00:00:00,0.0,Email,2,0,5,AT019,Tarde (14-22h),1626
108,2021-06-09,Technical issue,Pending Customer Response,High,Email,1040629.0166666667,2021-06-15 04:00:00,8880.0,Email,0,1,9,AT013,Manhã (06-14h),1134
109,2020-01-08,Technical issue,Closed,Critical,Chat,1785775.05,2020-01-08 00:00:00,0.0,Chat,0,1,5,AT025,Tarde (14-22h),2163
110,2020-03-10,Product inquiry,Open,High,Email,0.0,2020-03-13 12:00:00,5040.0,Email,2,0,6,AT023,Manhã (06-14h),1093
111,2021-07-28,Cancellation request,Closed,High,Email,969314.0833333334,2021-07-28 00:00:00,0.0,Email,2,0,5,AT016,Manhã (06-14h),1428
112,2021-11-29,Refund request,Open,High,Phone,0.0,2021-12-03 16:00:00,6720.0,Phone,2,0,9,AT008,Tarde (14-22h),2043
113,2020-03-24,Product inquiry,Open,Medium,Social media,0.0,2020-03-30 10:00:00,9240.0,Social media,0,1,7,AT024,Manhã (06-14h),2338
114,2021-11-12,Cancellation request,Closed,High,Email,815244.15,2021-11-12 00:00:00,0.0,Email,0,1,5,AT012,Tarde (14-22h),1079
115,2020-09-20,Cancellation request,Closed,High,Email,1417587.1666666667,2020-09-20 00:00:00,0.0,Email,3,0,5,AT009,Manhã (06-14h),1438
116,2021-01-16,Technical issue,Open,Critical,Email,0.0,2021-01-21 08:00:00,7680.0,Email,2,0,6,AT012,Manhã (06-14h),1762
117,2021-11-27,Cancellation request,Closed,High,Email,794582.2166666667,2021-11-27 00:00:00,0.0,Email,1,0,5,AT013,Manhã (06-14h),1850
118,2020-02-16,Billing inquiry,Closed,Medium,Phone,1729480.2333333334,2020-02-16 00:00:00,0.0,Phone,0,1,5,AT007,Tarde (14-22h),1072
119,2020-08-17,Refund request,Open,High,Email,0.0,2020-08-22 20:00:00,8400.0,Email,0,1,9,AT023,Manhã (06-14h),855
120,2021-07-31,Billing inquiry,Closed,Low,Phone,965062.2833333333,2021-07-31 00:00:00,0.0,Phone,0,1,5,AT012,Tarde (14-22h),1665
121,2021-03-11,Billing inquiry,Pending Customer Response,Medium,Chat,1170362.3166666667,2021-03-13 19:00:00,4020.0,Chat,1,0,6,AT004,Manhã (06-14h),1759
122,2021-03-03,Product inquiry,Open,Critical,Chat,0.0,2021-03-09 17:00:00,9660.0,Chat,0,1,2,AT010,Tarde (14-22h),2366
123,2020-10-03,Refund request,Open,Low,Social media,0.0,2020-10-04 20:00:00,2640.0,Social media,0,1,8,AT018,Manhã (06-14h),1254
124,2021-12-27,Product inquiry,Pending Customer Response,Low,Email,751028.4,2021-12-30 04:00:00,4560.0,Email,0,1,9,AT019,Tarde (14-22h),1878
125,2021-03-23,Technical issue,Pending Customer Response,High,Phone,1152134.4333333333,2021-03-25 22:00:00,4200.0,Phone,1,0,3,AT024,Tarde (14-22h),2137
126,2020-06-27,Refund request,Open,Medium,Chat,0.0,2020-06-28 01:00:00,1500.0,Chat,0,1,10,AT015,Manhã (06-14h),1450
127,2020-06-22,Billing inquiry,Open,Low,Social media,0.0,2020-06-26 10:00:00,6360.0,Social media,0,1,10,AT022,Tarde (14-22h),1272
128,2020-09-28,Refund request,Pending Customer Response,Low,Email,1405629.5166666666,2020-10-01 15:00:00,5220.0,Email,1,0,6,AT024,Noite (22-06h),1934
129,2021-04-15,Cancellation request,Closed,Medium,Email,1118772.55,2021-04-15 00:00:00,0.0,Email,3,0,5,AT020,Tarde (14-22h),1117
130,2021-05-05,Cancellation request,Pending Customer Response,Low,Email,1090538.5833333333,2021-05-10 23:00:00,8580.0,Email,3,0,8,AT006,Manhã (06-14h),2445
131,2020-02-13,Billing inquiry,Closed,Medium,Email,1735051.6,2020-02-13 00:00:00,0.0,Email,0,1,5,AT008,Manhã (06-14h),2364
132,2021-11-24,Product inquiry,Pending Customer Response,Critical,Social media,799017.6333333333,2021-11-29 13:00:00,7980.0,Social media,2,0,7,AT020,Tarde (14-22h),1491
133,2021-05-01,Cancellation request,Open,Medium,Phone,0.0,2021-05-03 06:00:00,3240.0,Phone,0,1,9,AT021,Manhã (06-14h),2019
134,2021-06-17,Refund request,Closed,Critical,Phone,1029194.6833333333,2021-06-17 00:00:00,0.0,Phone,1,0,5,AT003,Tarde (14-22h),2107
135,2020-05-01,Cancellation request,Closed,Critical,Email,1621900.7,2020-05-01 00:00:00,0.0,Email,0,1,5,AT011,Tarde (14-22h),2210
136,2021-10-30,Product inquiry,Pending Customer Response,Low,Chat,833885.7166666667,2021-11-02 19:00:00,5460.0,Chat,0,1,10,AT024,Manhã (06-14h),1059
137,2020-10-01,Cancellation request,Open,Critical,Email,0.0,2020-10-03 04:00:00,3120.0,Email,0,1,5,AT025,Noite (22-06h),1517
138,2021-12-20,Technical issue,Closed,Low,Chat,760916.7666666667,2021-12-20 00:00:00,0.0,Chat,0,1,5,AT025,Tarde (14-22h),2469
139,2021-02-12,Product inquiry,Closed,Critical,Chat,1208152.7833333334,2021-02-12 00:00:00,0.0,Chat,0,1,5,AT025,Tarde (14-22h),1153
140,2021-03-12,Cancellation request,Pending Customer Response,Low,Phone,1169026.8166666667,2021-03-18 23:00:00,10020.0,Phone,0,1,10,AT022,Tarde (14-22h),1362
141,2021-05-09,Cancellation request,Closed,Critical,Email,1084895.8333333333,2021-05-09 00:00:00,0.0,Email,2,0,5,AT014,Tarde (14-22h),1066
142,2020-04-13,Technical issue,Closed,High,Chat,1648638.8666666667,2020-04-13 00:00:00,0.0,Chat,0,1,5,AT021,Noite (22-06h),1334
143,2021-04-26,Billing inquiry,Pending Customer Response,High,Chat,1103911.9,2021-04-30 22:00:00,7080.0,Chat,0,1,8,AT016,Manhã (06-14h),839
144,2021-05-05,Cancellation request,Open,Critical,Email,0.0,2021-05-06 12:00:00,2160.0,Email,1,0,5,AT012,Manhã (06-14h),1943
145,2021-04-02,Refund request,Open,Low,Social media,0.0,2021-04-06 14:00:00,6600.0,Social media,0,1,9,AT024,Tarde (14-22h),1310
146,2020-10-12,Cancellation request,Pending Customer Response,Medium,Email,1386204.9833333334,2020-10-14 09:00:00,3420.0,Email,0,1,7,AT014,Noite (22-06h),1634
147,2021-07-11,Cancellation request,Open,Low,Email,0.0,2021-07-16 06:00:00,7560.0,Email,0,1,8,AT003,Manhã (06-14h),1095
148,2020-10-06,Billing inquiry,Closed,Low,Social media,1394745.05,2020-10-06 00:00:00,0.0,Social media,0,1,5,AT017,Manhã (06-14h),2352
149,2021-10-24,Refund request,Closed,High,Chat,842925.0833333334,2021-10-24 00:00:00,0.0,Chat,0,1,5,AT001,Tarde (14-22h),2068
150,2021-03-18,Technical issue,Closed,Critical,Email,1160194.1166666667,2021-03-18 00:00:00,0.0,Email,0,1,5,AT017,Manhã (06-14h),2084
151,2020-10-14,Refund request,Closed,Critical,Email,1383333.15,2020-10-14 00:00:00,0.0,Email,1,0,5,AT017,Tarde (14-22h),1974
152,2021-12-24,Refund request,Pending Customer Response,Medium,Phone,755313.1666666666,2021-12-25 13:00:00,2220.0,Phone,0,1,4,AT016,Manhã (06-14h),841
153,2021-10-19,Product inquiry,Pending Customer Response,Low,Social media,850558.1833333333,2021-10-22 19:00:00,5460.0,Social media,0,1,7,AT018,Tarde (14-22h),1571
154,2020-03-12,Technical issue,Pending Customer Response,Medium,Social media,1693610.2166666666,2020-03-18 15:00:00,9540.0,Social media,1,0,9,AT021,Manhã (06-14h),1646
155,2021-06-09,Technical issue,Open,Medium,Social media,0.0,2021-06-14 01:00:00,7260.0,Social media,0,1,8,AT007,Tarde (14-22h),2365
156,2020-01-29,Cancellation request,Open,Low,Chat,0.0,2020-02-04 16:00:00,9600.0,Chat,0,1,10,AT006,Manhã (06-14h),1010
157,2020-12-11,Product inquiry,Open,Low,Social media,0.0,2020-12-16 13:00:00,7980.0,Social media,0,1,8,AT024,Tarde (14-22h),2165
158,2020-01-29,Technical issue,Open,Medium,Phone,0.0,2020-02-03 03:00:00,7380.0,Phone,0,1,7,AT001,Manhã (06-14h),2274
159,2021-11-30,Product inquiry,Pending Customer Response,Low,Social media,789259.35,2021-12-06 09:00:00,9180.0,Social media,0,1,4,AT003,Manhã (06-14h),1823
160,2021-02-03,Billing inquiry,Pending Customer Response,High,Email,1222293.3666666667,2021-02-07 01:00:00,5820.0,Email,0,1,8,AT023,Manhã (06-14h),2226
161,2020-07-19,Refund request,Pending Customer Response,High,Email,1508300.3833333333,2020-07-21 11:00:00,3540.0,Email,1,0,8,AT006,Tarde (14-22h),1086
162,2020-01-06,Refund request,Closed,High,Phone,1788679.4166666667,2020-01-06 00:00:00,0.0,Phone,0,1,5,AT023,Manhã (06-14h),1930
163,2021-10-23,Refund request,Closed,Critical,Phone,845138.45,2021-10-23 00:00:00,0.0,Phone,0,1,5,AT016,Tarde (14-22h),1180
164,2020-11-11,Cancellation request,Closed,Medium,Phone,1343235.45,2020-11-11 00:00:00,0.0,Phone,0,1,5,AT021,Noite (22-06h),2032
165,2021-05-21,Billing inquiry,Closed,Low,Social media,1068219.4833333334,2021-05-21 00:00:00,0.0,Social media,1,0,5,AT013,Tarde (14-22h),1434
166,2020-07-25,Product inquiry,Pending Customer Response,Low,Email,1499481.5,2020-07-30 15:00:00,8100.0,Email,1,0,2,AT015,Manhã (06-14h),1267
167,2020-04-03,Refund request,Closed,Medium,Email,1662035.5333333334,2020-04-03 00:00:00,0.0,Email,0,1,5,AT001,Tarde (14-22h),2365
168,2020-01-31,Technical issue,Closed,Medium,Chat,1753241.55,2020-01-31 00:00:00,0.0,Chat,0,1,5,AT016,Manhã (06-14h),1736
169,2021-09-03,Billing inquiry,Open,High,Social media,0.0,2021-09-05 15:00:00,3780.0,Social media,0,1,6,AT002,Tarde (14-22h),2413
170,2020-08-04,Product inquiry,Closed,Medium,Phone,1485494.6,2020-08-04 00:00:00,0.0,Phone,0,1,5,AT007,Manhã (06-14h),864
171,2021-12-24,Billing inquiry,Closed,Low,Social media,755502.6333333333,2021-12-24 00:00:00,0.0,Social media,0,1,5,AT015,Tarde (14-22h),1387
172,2020-12-11,Refund request,Open,Low,Chat,0.0,2020-12-16 07:00:00,7620.0,Chat,0,1,9,AT003,Tarde (14-22h),943
173,2020-01-27,Cancellation request,Pending Customer Response,Medium,Social media,1758893.7,2020-01-28 22:00:00,2760.0,Social media,0,1,7,AT017,Tarde (14-22h),861
174,2021-10-01,Refund request,Pending Customer Response,Medium,Email,875470.7166666667,2021-10-02 04:00:00,1680.0,Email,2,0,7,AT010,Manhã (06-14h),1437
175,2021-10-05,Technical issue,Pending Customer Response,Critical,Chat,870922.7166666667,2021-10-09 21:00:00,7020.0,Chat,0,1,10,AT014,Noite (22-06h),1333
